Category: All categories,,,,,
,,,,,
Week,Python: (United States),JavaScript: (United States),Java: (United States),C: (United States),PHP: (United States)
9/13/20,38,11,25,94,4
9/20/20,38,11,25,93,4
9/27/20,35,9,23,94,4
10/4/20,35,10,23,92,4
10/11/20,31,8,21,97,4
10/18/20,30,8,20,95,3
10/25/20,31,9,21,94,3
11/1/20,23,7,16,76,3
11/8/20,28,8,20,94,4
11/15/20,29,8,21,96,4
11/22/20,23,6,16,89,3
11/29/20,27,8,20,97,3
12/6/20,27,8,19,94,4
12/13/20,26,8,19,91,3
12/20/20,20,6,16,86,3
12/27/20,19,5,15,87,3
1/3/21,22,6,17,87,3
1/10/21,25,7,19,91,3
1/17/21,26,7,20,91,3
1/24/21,28,7,21,95,4
1/31/21,29,8,22,97,4
2/7/21,29,8,22,100,3
2/14/21,29,7,22,94,4
2/21/21,29,8,23,98,3
2/28/21,30,8,22,94,4
3/7/21,28,8,21,95,3
3/14/21,27,8,20,90,3
3/21/21,27,7,20,91,3
3/28/21,27,7,19,93,3
4/4/21,27,8,19,89,4
4/11/21,29,8,19,93,4
4/18/21,28,7,20,95,3
4/25/21,28,7,19,94,4
5/2/21,26,8,19,92,4
5/9/21,26,7,17,87,3
5/16/21,25,7,18,90,3
5/23/21,25,7,18,88,3
5/30/21,24,7,16,84,3
6/6/21,25,7,19,87,3
6/13/21,25,7,19,91,3
6/20/21,27,7,19,89,3
6/27/21,26,8,18,94,3
7/4/21,26,7,18,86,3
7/11/21,26,8,18,88,4
7/18/21,26,7,18,85,4
7/25/21,25,7,18,85,4
8/1/21,25,7,17,88,4
8/8/21,25,7,17,92,3
8/15/21,25,7,17,93,4
8/22/21,27,7,18,92,3
8/29/21,28,7,19,89,4
9/5/21,29,7,19,91,3